rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
1,1LPGwuFgIzbJoShfDdw7MY,Youth,Glass Animals,How To Be A Human Being,on_repeat,216.00,72.00,65.00,79.00,96.00,8A,1,0.06,3.000,0.9980,0.1386,1.0466,5.1417,https://open.spotify.com/track/1LPGwuFgIzbJoShfDdw7MY
2,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,on_repeat,224.00,64.00,73.00,87.00,130.00,4A,1,0.05,3.000,0.9983,0.1386,1.0464,5.1413,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
3,6aBmVhShJV8rY9YAh4xxo6,Shadow On The Sea,CHAMPS,The Hard Interchange,on_repeat,245.00,81.00,83.00,81.00,110.00,9A,1,0.08,3.000,0.9973,0.1386,1.0364,5.0907,https://open.spotify.com/track/6aBmVhShJV8rY9YAh4xxo6
4,0babKgXwpYCxbmgTc2Ikrh,The Way She Looks,Two Feet,The Way She Looks,on_repeat,212.00,90.00,54.00,68.00,135.00,11A,1,0.08,3.000,0.9972,0.1386,1.0287,5.0525,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
5,2Ojr742JINM4QEOk7vQGEh,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,on_repeat,195.00,71.00,68.00,56.00,130.00,12A,1,0.08,3.000,0.9974,0.1386,1.0240,5.0300,https://open.spotify.com/track/2Ojr742JINM4QEOk7vQGEh
6,6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,Meteora,on_repeat,204.00,87.00,58.00,59.00,100.00,9A,1,0.09,3.000,0.9972,0.1386,0.9858,4.8418,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD
7,2d4e45fmUnguxh6yqC7gNT,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,yes,209.00,91.00,67.00,51.00,136.00,10A,1,0.07,1.500,0.9977,0.1386,1.0493,2.5772,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
8,6HZdbb05lEXLvcmee3ZXO2,Don't Stay,Linkin Park,Meteora,yes,217.00,100.00,49.00,68.00,90.00,12A,1,0.09,1.500,0.9972,0.1386,1.0472,2.5718,https://open.spotify.com/track/6HZdbb05lEXLvcmee3ZXO2
9,2IGEPotTBIcmxM5SOFot6V,Lonely As You,Matt Maeson,Never Had to Leave,yes,200.00,69.00,55.00,76.00,172.00,7B,1,0.03,1.500,0.9990,0.1386,1.0444,2.5663,https://open.spotify.com/track/2IGEPotTBIcmxM5SOFot6V
10,6GEIpzW14NtOjqHejbcSRE,Journal of Ardency,Class Actress,Journal of Ardency,yes,215.00,68.00,69.00,78.00,97.00,11A,1,0.07,1.500,0.9978,0.1386,1.0344,2.5408,https://open.spotify.com/track/6GEIpzW14NtOjqHejbcSRE
11,03mN5X7xFtv6uuBGsB43aY,Sixteen,Rainbow Kitten Surprise,Sixteen,yes,199.00,85.00,52.00,62.00,143.00,3B,1,0.08,1.500,0.9974,0.1386,1.0319,2.5344,https://open.spotify.com/track/03mN5X7xFtv6uuBGsB43aY
12,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,The Emptiness Machine,yes,215.00,87.00,47.00,81.00,184.00,9B,1,0.03,1.500,0.9991,0.1386,1.0283,2.5268,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
13,6wNUBZNWFxdUGof6vkaykE,One For The Road,Arctic Monkeys,AM,yes,193.00,67.00,42.00,84.00,180.00,8B,1,0.07,1.500,0.9978,0.1386,1.0246,2.5168,https://open.spotify.com/track/6wNUBZNWFxdUGof6vkaykE
14,1AQlvpcPh79BKnoKe1E6Nw,Hot Goblin,Em Beihold,Hot Goblin,yes,193.00,68.00,79.00,46.00,123.00,9A,1,0.07,1.500,0.9978,0.1386,1.0235,2.5140,https://open.spotify.com/track/1AQlvpcPh79BKnoKe1E6Nw
15,4pEU0NT64oiem9lDT7nuJn,Running In Circles,Dead Poet Society,FISSION,yes,210.00,84.00,62.00,64.00,142.00,5B,1,0.07,1.500,0.9978,0.1386,1.0230,2.5127,https://open.spotify.com/track/4pEU0NT64oiem9lDT7nuJn
16,4B5lSnWRFiJx8XghHeTJhc,ZAMA ZAMA,Die Antwoord,ZAMA ZAMA,yes,213.00,83.00,76.00,54.00,175.00,3B,1,0.07,1.500,0.9976,0.1386,1.0224,2.5111,https://open.spotify.com/track/4B5lSnWRFiJx8XghHeTJhc
17,6X3dsWYaXWhU5zdGj0p21G,Intrusive Thoughts,Bear Hands,The Key to What,yes,221.00,74.00,75.00,72.00,130.00,7B,1,0.05,1.500,0.9984,0.1386,1.0209,2.5082,https://open.spotify.com/track/6X3dsWYaXWhU5zdGj0p21G
18,4E3DhWlhgxDUCUIGeLIRV6,Floor It,Bear Hands,The Key to What,yes,227.00,72.00,76.00,79.00,132.00,4B,1,0.05,1.500,0.9984,0.1386,1.0209,2.5082,https://open.spotify.com/track/4E3DhWlhgxDUCUIGeLIRV6
19,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),yes,186.00,80.00,32.00,74.00,85.00,3A,1,0.07,1.500,0.9977,0.1386,1.0178,2.5000,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
20,2j0zExWFB0PowLOeoZosjK,Touch Too Much,AC/DC,Highway to Hell,yes,204.00,91.00,52.00,61.00,123.00,9B,1,0.07,1.500,0.9978,0.1386,1.0163,2.4964,https://open.spotify.com/track/2j0zExWFB0PowLOeoZosjK
