packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
1,1,1kDc700KN1jUerY6t09FNm,1kDc700KN1jUerY6t09FNm,yes,Oxygen,Catfish and the Bottlemen,The Ride,125.000,159.000,1,0.000000,https://open.spotify.com/track/1kDc700KN1jUerY6t09FNm
1,2,1kDc700KN1jUerY6t09FNm,5fpZBXuorlUCC9SP6LVuw3,yes,West Coast,Lana Del Rey,Ultraviolence,123.000,158.000,1,0.094002,https://open.spotify.com/track/5fpZBXuorlUCC9SP6LVuw3
1,3,1kDc700KN1jUerY6t09FNm,3LirkthakHFNj98PIO9oan,yes,Mission,Catfish and the Bottlemen,The Balance,128.000,165.000,1,0.239306,https://open.spotify.com/track/3LirkthakHFNj98PIO9oan
1,4,1kDc700KN1jUerY6t09FNm,0fFPWoqcdEDfIpS7wk6shV,yes,Holy Ghost,The Neighbourhood,(((((ultraSOUND))))),125.000,148.000,1,0.366107,https://open.spotify.com/track/0fFPWoqcdEDfIpS7wk6shV
3,1,2A73XBDBQgmdXO8VsXPWIs,2A73XBDBQgmdXO8VsXPWIs,yes,Rumour Has It,Adele,21,120.000,193.000,1,0.000000,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs
3,2,2A73XBDBQgmdXO8VsXPWIs,1BXDOKw1wayAznyNIfHmv7,yes,Grey,Two Feet,Grey,120.000,186.000,1,0.230998,https://open.spotify.com/track/1BXDOKw1wayAznyNIfHmv7
3,3,2A73XBDBQgmdXO8VsXPWIs,0TkKxuAP37iUqSzQMi3CsL,yes,Poison,MEG MYERS,Daughter in the Choir,123.000,200.000,1,0.265208,https://open.spotify.com/track/0TkKxuAP37iUqSzQMi3CsL
3,4,2A73XBDBQgmdXO8VsXPWIs,39bEAYKI9sRQ1OvPYPmFvq,yes,"Lessons In Love (All Day, All Night)","Neon Trees,Kaskade",Picture Show,128.000,199.000,1,0.399895,https://open.spotify.com/track/39bEAYKI9sRQ1OvPYPmFvq
12,1,1IHWl5LamUGEuP4ozKQSXZ,1IHWl5LamUGEuP4ozKQSXZ,yes,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,107.000,156.000,1,0.000000,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
12,2,1IHWl5LamUGEuP4ozKQSXZ,5gmJlzd7GyggoqLedD7vKV,yes,Hollow,"Flume,Emma Louise",Palaces,105.000,161.000,1,0.180983,https://open.spotify.com/track/5gmJlzd7GyggoqLedD7vKV
12,3,1IHWl5LamUGEuP4ozKQSXZ,3HErXAS9DiVd8C9x6CJTYd,yes,Attaway,Phantogram,Memory Of A Day,112.000,147.000,1,0.358049,https://open.spotify.com/track/3HErXAS9DiVd8C9x6CJTYd
12,4,1IHWl5LamUGEuP4ozKQSXZ,6Wx88Mv6b9ofjKMKkdwOJd,yes,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,118.000,168.000,1,0.606848,https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd
31,1,5ykbOijJEfRhuo2Td1m0Qd,5ykbOijJEfRhuo2Td1m0Qd,yes,7,Catfish and the Bottlemen,The Ride,155.000,152.000,1,0.000000,https://open.spotify.com/track/5ykbOijJEfRhuo2Td1m0Qd
31,2,5ykbOijJEfRhuo2Td1m0Qd,5fvbLe4bIfFR4B5iB2EQSe,yes,Just A Feeling,Maroon 5,Hands All Over,150.000,151.000,1,0.218914,https://open.spotify.com/track/5fvbLe4bIfFR4B5iB2EQSe
31,3,5ykbOijJEfRhuo2Td1m0Qd,4vGKLADQksmUcPAVHu7oab,on_repeat,Yours Forever (feat. Matt Maeson),"Bishop Briggs,Matt Maeson",Yours Forever (feat. Matt Maeson),143.000,131.000,2,0.977328,https://open.spotify.com/track/4vGKLADQksmUcPAVHu7oab
31,4,5ykbOijJEfRhuo2Td1m0Qd,5H7Z2DdWYT9ctLSuKzqkSb,maybe,Golden Dandelions - Acoustic,Barns Courtney,Golden Dandelions (Acoustic),140.000,171.000,2,1.017495,https://open.spotify.com/track/5H7Z2DdWYT9ctLSuKzqkSb
32,1,6NDt5z8GKIHub37hBQ4x18,6NDt5z8GKIHub37hBQ4x18,yes,Tearing Me Up,Bob Moses,Days Gone By,115.000,127.000,1,0.000000,https://open.spotify.com/track/6NDt5z8GKIHub37hBQ4x18
32,2,6NDt5z8GKIHub37hBQ4x18,6EfZCB2wudriyD1vDjuAZ9,yes,Bird Song,Florence + The Machine,Lungs (Deluxe Edition),120.000,124.000,1,0.234054,https://open.spotify.com/track/6EfZCB2wudriyD1vDjuAZ9
