packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
2,1,6aCBjSb87RizdH8lVBIRW7,6aCBjSb87RizdH8lVBIRW7,on_repeat,Good Things Go,Linkin Park,From Zero,127.000,161.000,1,0.000000,https://open.spotify.com/track/6aCBjSb87RizdH8lVBIRW7
2,2,6aCBjSb87RizdH8lVBIRW7,1owBzz8aYKe0bDJlAJt2Yn,on_repeat,Breakin' up,The Palms,Sway,130.000,163.000,1,0.146900,https://open.spotify.com/track/1owBzz8aYKe0bDJlAJt2Yn
2,3,6aCBjSb87RizdH8lVBIRW7,1HtrQWNpyEbGMEiwCjmPdi,on_repeat,Curbstomp,MEG MYERS,Daughter in the Choir,123.000,153.000,1,0.317653,https://open.spotify.com/track/1HtrQWNpyEbGMEiwCjmPdi
2,4,6aCBjSb87RizdH8lVBIRW7,3850dYVgOFIXJh5U4BFEWH,yes,Hung Up,Madonna,Confessions on a Dance Floor,125.000,171.000,1,0.342884,https://open.spotify.com/track/3850dYVgOFIXJh5U4BFEWH
4,1,1nUC2uuKUl49tDwQ1m4A1J,1nUC2uuKUl49tDwQ1m4A1J,on_repeat,BURNER PHONE,cleopatrick,SCRAP,136.000,181.000,1,0.000000,https://open.spotify.com/track/1nUC2uuKUl49tDwQ1m4A1J
4,2,1nUC2uuKUl49tDwQ1m4A1J,7jjX6UPbGwK9AMGjkeSwPj,yes,Are You Ten Years Ago,Tegan and Sara,The Con,138.000,185.000,1,0.157354,https://open.spotify.com/track/7jjX6UPbGwK9AMGjkeSwPj
4,3,1nUC2uuKUl49tDwQ1m4A1J,5iRv1aH4eNai45KfhjtJ6n,yes,When the Love is Gone,Des Rocs,When the Love is Gone,141.000,172.000,1,0.366338,https://open.spotify.com/track/5iRv1aH4eNai45KfhjtJ6n
4,4,1nUC2uuKUl49tDwQ1m4A1J,2mNGL7mZILSqZHxGboJaO9,yes,COMË N GO,Yeat,DANGEROUS SUMMER,145.000,179.000,1,0.394108,https://open.spotify.com/track/2mNGL7mZILSqZHxGboJaO9
5,1,2d4e45fmUnguxh6yqC7gNT,2d4e45fmUnguxh6yqC7gNT,yes,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,136.000,209.000,1,0.000000,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
5,2,2d4e45fmUnguxh6yqC7gNT,0babKgXwpYCxbmgTc2Ikrh,on_repeat,The Way She Looks,Two Feet,The Way She Looks,135.000,212.000,1,0.107075,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
5,3,2d4e45fmUnguxh6yqC7gNT,6Wn3pdFtAcnYJyJVITwt7N,yes,Girls Got Rhythm,AC/DC,Highway to Hell,138.000,203.000,1,0.214149,https://open.spotify.com/track/6Wn3pdFtAcnYJyJVITwt7N
5,4,2d4e45fmUnguxh6yqC7gNT,7D2DbbjKxGEAYwcEoG4wrI,yes,Duet In B Minor,Pacific Air,Stop Talking (Spotify Exclusive),150.000,202.000,1,0.643911,https://open.spotify.com/track/7D2DbbjKxGEAYwcEoG4wrI
6,1,3TP8KZt9tJGyeBRVyDysp9,3TP8KZt9tJGyeBRVyDysp9,on_repeat,Better If Worse,"HAFFWAY,Matt Maeson",Better If Worse (with Matt Maeson),124.000,183.000,1,0.000000,https://open.spotify.com/track/3TP8KZt9tJGyeBRVyDysp9
6,2,3TP8KZt9tJGyeBRVyDysp9,5iItYl3Q6wCnKVfpK1uNVf,yes,The Suburbs,Arcade Fire,The Suburbs (Deluxe),118.000,185.000,1,0.265099,https://open.spotify.com/track/5iItYl3Q6wCnKVfpK1uNVf
6,3,3TP8KZt9tJGyeBRVyDysp9,0jXRQSoOA01VTmrVIDbhtm,yes,Shh,Frou Frou,Details,131.000,179.000,1,0.327031,https://open.spotify.com/track/0jXRQSoOA01VTmrVIDbhtm
6,4,3TP8KZt9tJGyeBRVyDysp9,2Ojr742JINM4QEOk7vQGEh,on_repeat,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,130.000,195.000,1,0.469114,https://open.spotify.com/track/2Ojr742JINM4QEOk7vQGEh
7,1,5jGxeAkNbep75x8JLeb52H,5jGxeAkNbep75x8JLeb52H,on_repeat,Upside Down & Inside Out,OK Go,Hungry Ghosts,93.000,192.000,1,0.000000,https://open.spotify.com/track/5jGxeAkNbep75x8JLeb52H
7,2,5jGxeAkNbep75x8JLeb52H,5C5gvDZsl6d8bh89URfKHr,yes,Pork Soda,Glass Animals,How To Be A Human Being,96.000,198.000,1,0.233246,https://open.spotify.com/track/5C5gvDZsl6d8bh89URfKHr
7,3,5jGxeAkNbep75x8JLeb52H,5OLvTcn4P3pZQ4erbwg6ro,on_repeat,Unravelling,Muse,The Wow! Signal,88.000,183.000,1,0.361953,https://open.spotify.com/track/5OLvTcn4P3pZQ4erbwg6ro
7,4,5jGxeAkNbep75x8JLeb52H,0KseHCMXqZZkoKn4UJfWlO,yes,Smile,Foreign Air,Smile (Remix),100.000,181.000,1,0.465630,https://open.spotify.com/track/0KseHCMXqZZkoKn4UJfWlO
8,1,5tb5fb5moizAdu3Z6jljn2,5tb5fb5moizAdu3Z6jljn2,yes,Make a Shadow,MEG MYERS,Sorry,134.000,145.000,1,0.000000,https://open.spotify.com/track/5tb5fb5moizAdu3Z6jljn2
8,2,5tb5fb5moizAdu3Z6jljn2,35Bv4QuokBrmWya208VcK2,on_repeat,SCARING ME,cleopatrick,DOOM,135.000,139.000,1,0.198935,https://open.spotify.com/track/35Bv4QuokBrmWya208VcK2
8,3,5tb5fb5moizAdu3Z6jljn2,0ue1SRXyvMme9iCSSWcuWb,on_repeat,Numbers,Daughter,Not to Disappear,131.000,134.000,1,0.378636,https://open.spotify.com/track/0ue1SRXyvMme9iCSSWcuWb
8,4,5tb5fb5moizAdu3Z6jljn2,1ShxNSFFxy1rSbnopgYpvx,yes,Loneliest,Incubus,8,138.000,159.000,1,0.484600,https://open.spotify.com/track/1ShxNSFFxy1rSbnopgYpvx
9,1,6SkGAtFv38tQjouh7UeNpu,6SkGAtFv38tQjouh7UeNpu,yes,Where The Silence Goes,LEAP,One Million Pieces,170.000,178.000,1,0.000000,https://open.spotify.com/track/6SkGAtFv38tQjouh7UeNpu
9,2,6SkGAtFv38tQjouh7UeNpu,0FD5inFAFMXLM4o7JjNs1v,on_repeat,SCISSORS,Transviolet,SCISSORS,170.000,183.000,1,0.161932,https://open.spotify.com/track/0FD5inFAFMXLM4o7JjNs1v
9,3,6SkGAtFv38tQjouh7UeNpu,1FqozwZRQt0hBBJX6e48j7,yes,Meathook,The Cure,Three Imaginary Boys,166.000,171.000,1,0.283569,https://open.spotify.com/track/1FqozwZRQt0hBBJX6e48j7
9,4,6SkGAtFv38tQjouh7UeNpu,6wNUBZNWFxdUGof6vkaykE,yes,One For The Road,Arctic Monkeys,AM,180.000,193.000,1,0.646027,https://open.spotify.com/track/6wNUBZNWFxdUGof6vkaykE
10,1,2QgDqRuKcCOd3iIWcspgUr,2QgDqRuKcCOd3iIWcspgUr,yes,Obsessed,Elle Lexxa,Obsessed,129.000,154.000,1,0.000000,https://open.spotify.com/track/2QgDqRuKcCOd3iIWcspgUr
10,2,2QgDqRuKcCOd3iIWcspgUr,1JIffDQIhTeOeqYW66uu9e,on_repeat,The Dark Forest,Muse,The Wow! Signal,127.000,147.000,1,0.241471,https://open.spotify.com/track/1JIffDQIhTeOeqYW66uu9e
